Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",C_0402,2,15pF,C1548
"C103, C105, C119, C301, C401",C_0402,5,10uF,C15525
"C104, C108, C111, C112, C113, C114, C115, C116, C117, C118",C_0402,10,100nF,C1525
"C106, C107",C_0603,2,4.7uF,C19666
"C109, C110",C_0402,2,4.7uF,C23733
"D101, D102",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,PSM712-LF-T7,C32677
"D301, D401",D_SMA,2,SS14,C2480
"D501, D502, D503, D504, D505, D506, D507, D508, D601, D602, D603, D604, D605, D606, D607, D608, D701, D702, D703, D704, D705, D706, D707, D708",LED-SMD_L1.7-W1.1-R-RD_BULE,24,LED_Small,C965865
J101,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
L101,L_pol_2016,1,3.3u, C42411119
"Q301, Q401",Q_SOT-23,2,SI2301CDS-T1-GE3,C10487
"Q501, Q601, Q701",Q_SOT-23,3,MDD2302,C427390
"R102, R103",R_0402,2,5.1kΩ,C25905
R105,R_0402,1,1kΩ,C11702
"R106, R108",R_0603,2,1kΩ,C21190
R107,R_0402,1,33Ω,C25105
"R109, R301, R401, R502, R602, R702",R_0402,6,10kΩ,C25744
"R110, R111",R_0603,2,27Ω,C25190
R112,R_0402,1,4.7kΩ,C25900
"R201, R202, R203, R204, R205, R206, R207, R208",R_0402,8,220Ω,C25091
"R501, R601, R701",R_0402,3,100Ω,C25076
"S101, S102, S103",SW_TS-1088-AR02016,3,"Tactile Button, 160gf",C720477
SAO_PORT,CONN-SMD_6P-P2.54_BH254VS,1,Simple_Addon_v2,C492445
U101,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,C131025
U102,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117,C6186
U103,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
U201,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,74HC595D,C5947
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
