Designator,Mid X,Mid Y,Rotation,Layer
C101,151.295584,-119.692895,192.0,top
C102,148.89914,-120.20227,12.0,top
C103,199.653043,-64.841612,147.0,top
C104,168.971318,-120.99321,332.0,top
C105,197.556364,-63.480008,327.0,top
C106,149.511598,-133.046507,192.0,top
C107,149.781878,-134.318105,192.0,top
C108,156.700328,-128.238267,2.0,top
C109,146.928025,-133.692659,102.0,top
C110,148.827512,-122.214838,107.0,top
C111,145.119826,-129.586709,192.0,top
C112,145.487134,-130.835917,192.0,top
C113,156.549036,-125.416607,12.0,top
C114,145.744595,-132.039603,202.0,top
C115,145.290921,-122.953481,147.0,top
C116,153.279851,-133.143929,312.0,top
C117,156.702923,-129.77123,12.0,top
C118,150.940457,-121.761941,102.0,top
C119,144.915229,-128.400606,187.0,top
C301,192.020641,-58.69271,147.0,top
C401,181.547703,-114.31827,2.0,top
D101,206.254853,-69.678815,132.0,top
D102,203.384415,-66.750831,312.0,top
D301,192.82674,-56.533377,147.0,top
D401,178.662949,-117.670987,197.0,top
D501,186.365914,-89.738102,84.0,top
D502,185.151992,-101.612694,84.5,top
D503,180.691301,-85.074646,194.5,top
D504,180.026406,-94.658069,195.5,top
D505,180.034537,-107.782252,15.0,top
D506,174.277605,-91.672925,266.5,top
D507,173.804588,-100.93545,267.5,top
D508,173.087047,-110.137247,2.0,top
D601,173.661632,-95.849941,89.5,top
D602,173.098907,-104.526901,87.5,top
D603,167.311745,-87.870143,186.0,top
D604,167.171784,-97.427121,186.5,top
D605,167.486363,-110.402085,7.0,top
D606,161.412343,-92.91331,272.0,top
D607,161.341118,-102.154735,270.0,top
D608,161.221716,-111.486579,2.0,top
D701,161.042193,-96.429143,92.0,top
D702,160.713617,-105.792167,90.0,top
D703,154.973028,-88.329786,179.5,top
D704,155.090035,-97.537357,177.0,top
D705,154.45869,-110.199066,353.5,top
D706,149.251533,-93.966659,272.0,top
D707,149.41996,-102.756593,271.5,top
D708,149.568633,-109.98891,2.0,top
J101,210.11859097064217,-62.17449292334053,142.0,top
L101,150.126787,-136.085002,192.0,top
Q301,196.505652,-54.08149,57.0,top
Q401,178.394592,-121.676084,197.0,top
Q501,177.720265,-112.358623,107.0,top
Q601,167.530049,-114.057325,97.0,top
Q701,157.397598,-114.632976,92.0,top
R102,208.469202,-66.84248,232.0,top
R103,206.105172,-64.995496,232.0,top
R105,149.864491,-121.99065,282.0,top
R106,156.333791,-137.791042,287.0,top
R107,147.250479,-135.688158,92.0,top
R108,161.709709,-117.217613,332.0,top
R109,155.196364,-133.187565,2.0,top
R110,153.581128,-135.628276,282.0,top
R111,152.304364,-135.899636,282.0,top
R112,182.066876,-47.29686,117.0,top
R201,146.427696,-106.348904,189.0,top
R202,146.232153,-105.114292,189.0,top
R203,146.036607,-103.879682,189.0,top
R204,145.841067,-102.645073,189.0,top
R205,145.645519,-101.410458,189.0,top
R206,145.449979,-100.17585,189.0,top
R207,145.254434,-98.941242,189.0,top
R208,142.887971,-96.784891,9.0,top
R301,189.504625,-57.058799,327.0,top
R401,181.301026,-121.581307,107.0,top
R501,156.464316,-124.256886,22.0,top
R502,178.566976,-114.92267,17.0,top
R601,156.147553,-123.159029,32.0,top
R602,167.867148,-116.54708,7.0,top
R701,155.464811,-122.215222,42.0,top
R702,157.382269,-117.163366,2.0,top
S101,172.236721,-120.473132,92.0,top
S102,158.645797,-136.066833,107.0,top
S103,144.957293,-112.151682,146.0,top
SAO_PORT,168.10335,-132.465681,202.0,top
U101,164.138788,-122.324035,242.0,top
U102,200.36942354013632,-59.14827739811574,57.0,top
U103,150.62238,-127.720635,192.0,top
U201,141.054614,-102.724818,9.0,top
Y101,149.644262,-117.347285,192.0,top
